product name,product category,product price,product link,product image
GIGABYTE X870 EAGLE WIFI7 DDR5 AMD AM5 ATX Motherboard,Motherboard,36000,https://www.startech.com.bd/gigabyte-x870-eagle-wifi7-am5-atx-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/x870-eagle-wifi7/x870-eagle-wifi7-01-228x228.webp
Asus H81M-K 4th Gen Motherboard,Motherboard,8900,https://www.startech.com.bd/asus-h81m-k-4th-gen-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/h81m-k/h81m-k-01-228x228.jpg
MSI H510M PLUS II 10th/11th Gen mATX Motherboard,Motherboard,9700,https://www.startech.com.bd/msi-h510m-plus-ii-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/msi/h510m-plus-ii/h510m-plus-ii-01-228x228.webp
GIGABYTE H510M H V2 11th/10th Gen Micro ATX Motherboard,Motherboard,10200,https://www.startech.com.bd/gigabyte-h510m-h-v2-10th-gen-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/h510m-h-v2-10th-gen/h510m-h-v2-10th-gen-01-228x228.webp
Asus PRIME B550M-K ARGB AMD AM4 mATX Motherboard,Motherboard,12400,https://www.startech.com.bd/asus-prime-b550m-k-argb-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/asus/prime-b550m-k-argb/prime-b550m-k-argb-01-228x228.webp
GIGABYTE B850M AORUS ELITE WIFI6E ICE AMD AM5 DDR5 Micro ATX Motherboard,Motherboard,33500,https://www.startech.com.bd/gigabyte-b850m-aorus-elite-wifi6e-ice-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/gigabyte/b850m-aorus-elite-wifi6e-ice/b850m-aorus-elite-wifi6e-ice-01-228x228.webp
MSI MPG Z890 CARBON WIFI LGA 1851 ATX Motherboard,Motherboard,77900,https://www.startech.com.bd/msi-mpg-z890-carbon-wifi-lga-1851-atx-motherboard,https://www.startech.com.bd/image/cache/catalog/motherboard/msi/mpg-z890-carbon-wifi/mpg-z890-carbon-wifi-01-228x228.webp
OSCOO OS002 256GB 2.5'' SATA III SSD,Storage,4500,https://www.startech.com.bd/oscoo-os002-256gb-ssd,https://www.startech.com.bd/image/cache/catalog/ssd/oscoo/os002/os002-01-228x228.webp
Patriot P210 256GB 2.5 inch SATA III SSD,Storage,4500,https://www.startech.com.bd/patriot-p210-256gb-ssd,https://www.startech.com.bd/image/cache/catalog/ssd/patriot/p210/p210-01-228x228.webp
TP-Link TL-WN725N 150Mbps USB WiFi Adapter,LAN Cards,709,https://www.startech.com.bd/tp-link-tl-wn725n,https://www.startech.com.bd/image/cache/catalog/router1/TP-Link/wn725n/TL-WN725N-1-228x228.jpg
"Asus ExpertBook B1 B1503CTA Core 3 N355 15.6"" FHD Laptop",Anti Virus,60000,https://www.startech.com.bd/asus-expertbook-b1-b1503cta-core-3-laptop,https://www.startech.com.bd/image/cache/catalog/laptop/asus/expertbook-b1-b1503cta/expertbook-b1-b1503cta-01-228x228.webp
"Lenovo IdeaPad Slim 3 15ARP10 Ryzen 5 7535HS 15.3"" WUXGA Laptop Cosmic Blue With Backlit Keyboard",Anti Virus,73000,https://www.startech.com.bd/lenovo-ideapad-slim-3-15arp10-laptop-cosmic-blue,https://www.startech.com.bd/image/cache/catalog/laptop/lenovo/ideapad-slim-3-15arp10-cosmic-blue/ideapad-slim-3-15arp10-cosmic-blue-01-228x228.webp
