product name,product category,new price,product link,product image,old price
AMD Ryzen 5 5600X Processor,CPU,10799,https://www.startech.com.bd/amd-ryzen-5-5600x-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/5600x/5600x-001-228x228.jpg,11500
1STPLAYER PS130 ARGB Aluminum Fins Hydro Bearing CPU Air Cooler,Coolers,2300,https://www.startech.com.bd/1stplayer-ps130-argb-cpu-air-cooler,https://www.startech.com.bd/image/cache/catalog/cpu-cooler/1stplayer/ps130-argb/ps130-argb-01-228x228.webp,2450
Huntkey Frozen 400X Fantasy ARGB CPU Cooler,Coolers,2400,https://www.startech.com.bd/huntkey-frozen-400x-fantasy-argb-cpu-cooler,https://www.startech.com.bd/image/cache/catalog/cpu-cooler/huntkey/frozen-400x-fantasy/frozen-400x-fantasy-04-228x228.webp,2500
DeepCool AK400 WH Performance CPU Air Cooler,Coolers,2600,https://www.startech.com.bd/deepcool-ak400-wh-performance-cpu-air-cooler,https://www.startech.com.bd/image/cache/catalog/cpu-cooler/deepcool/ak400-wh/ak400-wh-01-228x228.webp,2850
DeepCool AG500 ARGB 120mm Single Tower CPU Cooler,Coolers,2700,https://www.startech.com.bd/deepcool-ag500-argb-cpu-cooler,https://www.startech.com.bd/image/cache/catalog/cpu-cooler/deepcool/ag500-argb/ag500-argb-01-228x228.webp,2900
Deepcool AG400 DIGITAL CPU Cooler,Coolers,2650,https://www.startech.com.bd/deepcool-ag400-digital-cpu-cooler,https://www.startech.com.bd/image/cache/catalog/cpu-cooler/deepcool/ag400-digital/ag400-digital-01-228x228.webp,3000
Gamdias ST-BOREAS E1-411 EX ARGB CPU Air Cooler,Coolers,2750,https://www.startech.com.bd/gamdias-st-boreas-e1-411-ex-argb-cpu-air-cooler,https://www.startech.com.bd/image/cache/catalog/cpu-cooler/gamdias/st-boreas-e1-411-se/st-boreas-e1-411-se-228x228.webp,2950
Monarch Ice Cooler X5 ARGB Desktop Gaming Case,Casing,2600,https://www.startech.com.bd/monarch-ice-cooler-x5-argb-gaming-case,https://www.startech.com.bd/image/cache/catalog/casing/monarch/ice-cooler-x5-bk/ice-cooler-x5-bk-01-228x228.webp,2799
Monarch Ice Cooler X5 ARGB Desktop Gaming Case White,Casing,2600,https://www.startech.com.bd/monarch-ice-cooler-x5-gaming-case-white,https://www.startech.com.bd/image/cache/catalog/casing/monarch/ice-cooler-x5/ice-cooler-x5-001-228x228.webp,2898
"LG 20MK400A-B 19.5"" FHD Monitor",Monitors,7900,https://www.startech.com.bd/lg-20mk400a-b-19-5-inch-monitor,https://www.startech.com.bd/image/cache/catalog/monitor/lg-monitor/20mk400h-b/20mk400h-b-228x228.jpg,8990
Corsair iCUE AR120 Digital RGB 120mm PWM Single Casing Fan White,Casing Cooler,1500,https://www.startech.com.bd/corsair-icue-ar120-digital-rgb-120mm-pwm-casing-fan-white,https://www.startech.com.bd/image/cache/catalog/casing-cooler/corsair/icue-ar120/icue-ar120-white-01-228x228.webp,2000
Arctic P12 Max 120mm Casing Fan,Casing Cooler,1700,https://www.startech.com.bd/arctic-p12-max-120mm-casing-fan,https://www.startech.com.bd/image/cache/catalog/casing-cooler/arctic/p12-max/p12-max-01-228x228.webp,1775
Corsair iCUE AR120 Digital RGB 120mm PWM Single Casing Fan,Casing Cooler,1500,https://www.startech.com.bd/corsair-icue-ar120-digital-rgb-120mm-pwm-casing-fan,https://www.startech.com.bd/image/cache/catalog/casing-cooler/corsair/icue-ar120/icue-ar120-01-228x228.webp,1800
NZXT F120P 120mm Static Pressure Casing Fan White,Casing Cooler,1500,https://www.startech.com.bd/nzxt-f120p-120mm-static-pressure-casing-fan-white,https://www.startech.com.bd/image/cache/catalog/casing-cooler/nzxt/f140q-white/f140q-white-01-228x228.webp,1800
A4TECH OP-730D 2X Click Optical Wired Mouse,Mouse,450,https://www.startech.com.bd/a4tech-op-730d-mouse,https://www.startech.com.bd/image/cache/catalog/mouse/a4tech/730d/730d-main-228x228.jpg,500
Apple MacBook Pro 16 inch M4 Max Chip Liquid Retina XDR Display 48GB RAM 1TB SSD Space Black,Anti Virus,529500,https://www.startech.com.bd/apple-macbook-pro-16-m4-max-48gb-ram-1tb-ssd-space-black,https://www.startech.com.bd/image/cache/catalog/laptop/apple/macbook-pro-16-m4-pro-space-black/macbook-pro-16-m4-pro-space-black-01-228x228.webp,571900
