product name,product category,product price,product link,product image
AMD Athlon PRO 300GE AM4 Socket Desktop Processor with Radeon Vega 3 Graphics (Rebox),CPU,4900,https://www.startech.com.bd/amd-athlon-pro-300ge-processor,https://www.startech.com.bd/image/cache/catalog/processor/AMD/athlon-pro-300ge/athlon-pro-300ge-228x228.jpg
Intel Pentium Gold G6400 10th gen Coffee Lake Processor,CPU,7300,https://www.startech.com.bd/intel-pentium-gold-g6400-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/g6400/g6400-228x228.jpg
AMD Ryzen 5 2400G Desktop Processor with Radeon RX Vega 11 Graphics,CPU,6900,https://www.startech.com.bd/amd-ryzen-5-2400g-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/ryzen-5-2400g/ryzen-5-2400g-001-228x228.webp
Intel 10th Gen Core i3 10100F Processor,CPU,7200,https://www.startech.com.bd/intel-10th-gen-core-i3-10100f-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/i3-10100/i3-10100-228x228.jpg
Intel Pentium Gold G7400 Alder Lake Processor,CPU,7499,https://www.startech.com.bd/intel-12th-gen-pentium-gold-g7400-alder-lake-processor,https://www.startech.com.bd/image/cache/catalog/processor/intel/intel-12th-gen-pentium-gold-g7400/intel-pentium-gold-g7400-12th-gen-alder-lake-01-228x228.jpg
AMD Ryzen 5 3400G Processor with Radeon RX Vega 11 Graphics,CPU,7500,https://www.startech.com.bd/amd-ryzen-5-3400g-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/ryzen-5-3400g/3400g-228x228.jpg
Intel Pentium Gold G6405 Coffee Lake Processor,CPU,7600,https://www.startech.com.bd/intel-pentium-gold-g6405-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/pentium-gold-g6405/pentium-gold-g6405-01-228x228.webp
AMD Ryzen 5 5500 Processor,CPU,8300,https://www.startech.com.bd/amd-ryzen-5-5500-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/amd-ryzen-5-5500/amd-ryzen-5-5500-01-228x228.jpg
AMD Ryzen 3 4100 Processor,CPU,9300,https://www.startech.com.bd/amd-ryzen-3-4100-processor,https://www.startech.com.bd/image/cache/catalog/processor/AMD/ryzen-3-4100/amd-ryzen-3-4100-01-228x228.jpg
AMD Ryzen Threadripper 1900X 8-core/16 thread Desktop Processor,CPU,10000,https://www.startech.com.bd/amd-ryzen-threadripper-1900x,https://www.startech.com.bd/image/cache/catalog/processor/amd/ryzen-threadripper-1900x/ryzen-threadripper-1900x-01-228x228.webp
Intel 5th Gen Core i7 5930K Processor,CPU,9900,https://www.startech.com.bd/intel-core-i7-5930k-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/core-i7-5930k/core-i7-5930k-01-228x228.webp
AMD Ryzen 5 5600 Processor,CPU,9749,https://www.startech.com.bd/amd-ryzen-5-5600-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/5600x/5600x-001-228x228.jpg
Intel 10th Gen Core i3 10100 Processor,CPU,10750,https://www.startech.com.bd/intel-core-i3-10100-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/i3-10100/i3-10100-228x228.jpg
AMD Ryzen 5 5500GT AM4 Processor with Radeon Graphics,CPU,10899,https://www.startech.com.bd/amd-ryzen-5-5500gt-processor,https://www.startech.com.bd/image/cache/catalog/processor/AMD/ryzen-5-5500gt/ryzen-5-5500gt-228x228.webp
Intel Core i3-12100 12th Gen Alder Lake Processor,CPU,11450,https://www.startech.com.bd/intel-core-i3-12100-12th-gen-alder-lake-processor,https://www.startech.com.bd/image/cache/catalog/processor/intel/i3-12100/i3-12100-228x228.jpg
AMD Ryzen 5 5600X Processor,CPU,11000,https://www.startech.com.bd/amd-ryzen-5-5600x-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/5600x/5600x-001-228x228.jpg
AMD Ryzen 5 Pro 4650G Processor with Radeon Graphics,CPU,12800,https://www.startech.com.bd/amd-ryzen-5-pro-4650g-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/ryzen-5-pro-4650g/ryzen-5-pro-4650g-228x228.jpg
AMD Ryzen 5 8400F Processor,CPU,11000,https://www.startech.com.bd/amd-ryzen-5-8400f-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/ryzen-5-8400f/ryzen-5-8400f-01-228x228.webp
Intel 12th Gen Core i5-12400F Alder Lake Processor,CPU,12450,https://www.startech.com.bd/intel-12th-gen-core-i5-12400f-alder-lake-processor,https://www.startech.com.bd/image/cache/catalog/processor/intel/i5-12400/i5-12400-001-228x228.jpg
AMD Ryzen 5 3600 Processor,CPU,11900,https://www.startech.com.bd/amd-ryzen-5-3600-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/ryzen-5-3600x/ryzen-5-3600-228x228.jpg
AMD Ryzen 5 5600X Processor,CPU,11500,https://www.startech.com.bd/amd-ryzen-5-5600x-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/5600x/5600x-001-228x228.jpg
Intel 12th Gen Core i5-12400F Alder Lake Processor,CPU,12500,https://www.startech.com.bd/intel-12th-gen-core-i5-12400f-alder-lake-processor,https://www.startech.com.bd/image/cache/catalog/processor/intel/i5-12400/i5-12400-001-228x228.jpg
Intel 10th Gen Core i5-10500 Processor,CPU,13900,https://www.startech.com.bd/intel-core-i5-10500-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/i5-10400/i5-10400-1-228x228.jpg
Intel 10th Gen Core i5-10400 Processor,CPU,14300,https://www.startech.com.bd/intel-core-i5-10400-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/i5-10400/i5-10400-1-228x228.jpg
Intel 13th Gen Core i3-13100 Raptor Lake Processor,CPU,13500,https://www.startech.com.bd/intel-core-i3-13100-processor,https://www.startech.com.bd/image/cache/catalog/processor/intel/core-i3-13100/core-i3-13100-01-228x228.webp
AMD Ryzen 5 8500G Processor with Radeon Graphics,CPU,15500,https://www.startech.com.bd/amd-ryzen-5-8500g-processor,https://www.startech.com.bd/image/cache/catalog/processor/AMD/ryzen-5-8600g/ryzen-5-8600g-01-228x228.webp
Intel 5th Gen Core i7 5930K Processor,CPU,9900,https://www.startech.com.bd/intel-core-i7-5930k-processor,https://www.startech.com.bd/image/cache/catalog/processor/Intel/core-i7-5930k/core-i7-5930k-01-228x228.webp
AMD Ryzen 7 5700X Processor,CPU,12700,https://www.startech.com.bd/amd-ryzen-7-5700x-processor,https://www.startech.com.bd/image/cache/catalog/processor/amd/amd-ryzen-7-5700x/amd-ryzen-7-5700x-01-228x228.jpg
Intel 12th Gen Core i5-12400 Alder Lake Processor,CPU,14800,https://www.startech.com.bd/intel-12th-gen-core-i5-12400-alder-lake-processor,https://www.startech.com.bd/image/cache/catalog/processor/intel/i5-12400/i5-12400-01-228x228.webp
